,url
16060,"['tempe', '2019', 'ford', '150', 'lifted-4x4-ecoboost']"
16067,"['tempe', '2020', 'chevrolet', 'silverado', '3500hd']"
16068,"['tempe', '2020', 'gmc', 'sierra', '3500hd-lifted']"
16521,"['tempe', '2020', 'gmc', 'sierra', '1500-elevation']"
16570,"['tempe', '2020', 'gmc', 'sierra', '1500-lifted']"
16615,"['tempe', '2020', 'chevrolet', 'silverado', '3500hd']"
16632,"['tempe', '2020', 'gmc', 'sierra', '1500-lifted-x31']"
18686,"['oklahoma', 'city', '2019', 'fuso', 'crew-cab']"
19055,"['bentonville', '2017', 'hyundai', 'elantra', 'se']"
19411,"['oklahoma', 'city', '2020', 'mitsubishi', 'fe160g']"
19553,"['vicksburg', '2019', 'chevrolet', 'silverado']"
20274,"['vicksburg', '2019', 'chevrolet', 'silverado']"
21094,"['vicksburg', '2019', 'nissan', 'nv200', 'compact']"
21096,"['vicksburg', '2018', 'ford', 'super', 'duty-350-drw']"
21117,"['vicksburg', '2019', 'chevrolet', 'silverado']"
21473,"['oklahoma', 'city', '2019', 'fuso', 'crew-cab']"
21479,"['vicksburg', '2018', 'chevrolet', 'silverado', '1500']"
21589,"['vicksburg', '2019', 'ford', '150', '4x4-50l-v8-crew']"
21590,"['vicksburg', '2018', 'ford', 'super', 'duty-550-drw']"
26578,"['paso', 'robles', '2018', 'ford', '150-xlt-2wd']"
26974,"['paso', 'robles', '2019', 'toyota', 'sequoia-sr5-4wd']"
26977,"['paso', 'robles', '2020', 'ford', '150-king-ranch']"
27524,"['paso', 'robles', '2020', 'ford', '150-xlt-stone']"
28256,"['paso', 'robles', '2018', 'ford', 'fusion-se-fwd']"
28604,"['paso', 'robles', '2018', 'toyota', 'tundra-4wd']"
29950,"['scottsdale', '2019', 'chevrolet', 'silverado']"
30153,"['scottsdale', '2020', 'ford', 'super', 'duty-250-srw']"
30361,"['scottsdale', '2019', 'gmc', 'sierra', '1500-lifted']"
30479,"['scottsdale', '2018', 'chevrolet', 'silverado']"
